WB.315_EV_Liver_1,WB.316_CV_Liver_1,WB.317_CV_Liver_2,WB.321_EV_Liver_2,WB.322_CV_Liver_3,WB.323_CV.Liver_4,WB.327_EV_Liver_3,WB.328_EV_Liver_4,WB.329_CV_Liver_5,WB.330_EV_Liver_5,WB_504_CV,WB_505_EV,WB_506_CV,WBN_507_EV,WBN_508_CV,WBN_509_CV,WBN_510_CV,WBN_511_EV,WBN_531_CV,WBN_533_CV,WBN_543_CV
0,0,4,1,0,0,1,1,0,0,0,0,1,1,2,0,0,2,2,1,0
1474,1401,1588,1264,1246,1321,1368,1240,1586,1405,1164,913,1189,673,700,1015,945,656,838,757,973
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,22,7,8,11,15,6,5,13,5,5,8,13,7,6,7,6,7,13,6
2,4,1,2,2,1,8,5,3,2,0,8,3,1,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52053,49648,49063,40898,41019,42064,41409,49225,38125,46318,31206,35087,29464,23941,25321,30149,27142,25796,29289,30847,37698
420,518,455,403,521,489,569,434,579,644,425,401,336,358,433,521,323,282,333,332,410
29,28,44,22,19,19,42,17,38,29,33,32,42,25,12,10,25,19,11,7,15
189,115,122,142,107,145,424,157,152,134,78,100,109,55,67,106,115,97,59,106,77
89,213,138,126,112,58,74,241,103,81,85,57,50,62,60,140,31,84,65,50,130
3309,2871,2719,2803,2418,2613,2544,2630,2250,2365,1573,1484,1500,1344,1475,1494,1392,1449,1621,1638,1911
46,29,38,30,20,26,65,38,28,38,7,15,13,8,8,10,14,24,18,16,17
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,21,30,37,23,28,40,38,52,36,26,16,11,18,16,10,8,13,26,15,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,3,5,8,2,13,1,2,4,12,5,2,6,1,6,6,3,2,0,1,2
86,90,77,81,87,88,85,74,89,87,54,55,41,55,60,39,46,47,37,52,59
787,769,553,692,462,686,335,557,370,457,222,208,399,313,361,309,303,392,343,425,546
432,364,373,336,373,305,418,299,379,402,250,225,250,145,197,210,190,145,182,208,218
98,63,65,131,48,68,49,80,43,84,47,73,61,29,17,29,65,41,35,31,46
179,175,133,155,127,147,128,116,141,169,117,116,68,85,89,116,92,76,83,78,81
3139,3240,3205,2963,3178,2854,3158,2649,2989,3236,2412,2024,2085,2050,1837,1832,1857,1488,1998,2010,1986
2038,1933,2324,1804,1670,1798,1732,1778,1466,1811,1187,1243,1164,1018,1146,1230,1347,1187,1147,1372,1849
0,1,4,4,0,8,2,1,1,0,5,1,1,2,0,0,0,1,0,1,0
454,343,344,351,307,349,306,316,322,323,243,202,224,168,174,237,177,147,241,182,221
11,2,3,10,4,5,4,3,8,3,3,3,3,4,3,13,4,1,3,4,0
647,595,638,655,653,536,844,533,632,889,545,487,535,305,343,435,421,264,414,476,353
4106,4062,3204,3763,3183,3455,3483,3655,3096,3646,2584,2634,2229,2187,2228,2299,2116,2129,2285,2287,2552
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,59,97,56,30,1002,75,71,93,53,53,41,58,27,26,38,826,30,994,36,81
505,287,253,280,252,269,346,302,351,516,188,250,344,193,206,178,163,277,158,171,156
5,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,1,1,2,5,0,2,0,3,0,3,0,0,0,1,1,2,0
92,20,41,42,33,36,33,49,43,49,28,40,26,21,13,10,26,34,45,21,42
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,12,15,6,5,8,19,10,4,5,6,6,5,7,8,8,2,5,7,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,65,62,54,49,66,66,50,56,81,53,65,37,46,45,44,40,46,31,41,31
858,982,748,760,1038,914,985,906,1116,1068,623,500,557,397,361,488,476,421,361,467,396
22,12,10,6,20,22,17,11,10,22,9,4,11,8,14,9,9,4,4,17,8
831,859,837,702,652,706,713,714,820,737,511,514,498,419,379,464,434,371,460,422,496
78,149,93,104,143,194,212,161,205,207,118,116,103,82,105,125,126,97,76,80,98
48,22,45,12,26,63,94,70,75,71,23,39,23,13,21,43,20,26,22,50,21
19,14,11,9,6,14,9,9,12,8,5,3,9,6,6,7,5,4,8,4,4
132,137,110,117,107,145,99,87,84,114,100,86,63,64,84,67,60,89,73,84,84
4516,4154,4216,3362,3767,3774,3250,3660,3230,3613,2711,2667,2434,1818,2067,2469,2142,1923,2759,2878,3061
388,563,214,532,420,395,485,446,323,735,302,350,173,537,382,192,156,217,222,227,119
18,14,9,6,5,20,14,8,21,7,4,5,6,1,26,4,17,5,20,3,3
1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1
17,9,31,6,6,29,37,18,8,6,4,23,9,2,3,7,1,17,6,5,6
20,1,8,1,0,2,2,5,3,9,2,4,0,0,0,0,2,1,1,5,5
3,6,11,5,9,10,21,7,4,10,3,3,5,5,5,6,1,2,1,9,4
163,79,90,98,170,126,122,166,236,128,64,141,73,64,66,63,128,112,91,104,88
7602,5897,6248,5953,5594,4977,6169,6084,9505,7196,4444,4373,4298,3131,3230,3695,3055,3010,4094,4149,4714
183,192,158,120,141,164,149,154,107,151,100,113,94,92,92,91,85,104,94,89,127
1027,1105,989,898,1077,1059,1227,1147,884,1175,573,598,486,503,601,659,746,583,582,628,670
2407,2218,1972,1990,2094,2035,2016,2046,1890,2178,1488,1632,1405,1168,1348,1303,1297,1287,1423,1386,1558
225,238,205,213,162,163,183,184,215,195,152,181,128,111,110,145,128,108,157,187,212
21,1,7,0,2,5,6,12,2,2,4,2,2,1,2,2,4,2,11,3,7
0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
278,215,263,206,233,285,289,221,254,319,196,159,167,131,189,207,194,119,163,135,131
382,506,515,345,368,392,384,336,482,395,336,400,270,330,184,232,201,263,249,234,309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,607,571,704,656,654,753,584,557,773,414,442,347,400,389,385,364,390,339,338,324
48,45,25,52,45,61,46,69,65,68,23,22,23,75,26,17,19,28,26,26,13
13,8,1,11,32,8,10,2,13,9,0,3,2,4,4,4,1,2,9,6,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2591,2212,2282,2344,2073,2179,2149,2068,1917,2013,1183,1236,1169,1014,1072,1259,1176,1087,1289,1378,1522
0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,2,0,0,0,0,1
3,36,8,0,1,4,20,10,2,16,2,1,5,2,0,2,1,0,5,6,0
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,2,2,3,0,1,2,0,2,13,0,1,0,0,1,1,4,1,0,0,3
858,678,930,733,757,838,841,758,817,910,649,689,608,491,617,558,618,441,588,461,561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
223,249,208,175,223,197,245,198,206,218,132,160,97,156,109,120,105,99,131,118,132
240,197,226,145,156,146,168,158,188,142,88,90,69,67,78,119,98,81,140,99,144
937,950,890,695,829,847,863,824,953,908,546,557,495,521,461,513,467,431,491,480,475
9,14,21,7,15,10,13,9,6,16,9,7,7,3,12,14,7,8,3,10,7
30,18,8,18,12,13,21,16,21,11,10,15,9,7,9,6,11,9,16,4,6
43,18,35,15,7,10,34,37,41,26,21,28,18,14,7,12,17,47,13,28,19
13,7,28,11,6,16,27,15,11,25,16,12,8,8,2,25,20,13,5,7,8
117,157,105,168,178,156,163,165,167,186,106,103,95,135,140,95,102,67,97,110,78
331,421,268,300,396,294,362,352,425,427,223,213,282,238,220,261,255,164,249,237,182
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
338,277,473,247,285,322,242,235,351,306,303,240,251,161,188,191,155,103,204,200,180
356,293,285,260,294,239,318,289,251,309,174,168,170,153,134,148,113,136,143,123,127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,445,262,301,332,239,422,323,316,447,220,175,268,199,213,216,263,189,143,195,142
0,1,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0
5759,5036,5094,5101,4558,4558,4955,4805,4165,4740,2994,2951,2813,2299,2679,2881,2738,2714,2865,3182,3455
100,130,118,142,107,96,72,75,93,80,107,96,57,35,47,45,53,44,43,65,73
1159,1026,848,1037,1242,1005,1000,1244,874,1145,593,653,393,353,567,493,492,529,455,568,532
15,8,14,0,0,2,1,1,0,16,3,6,0,5,2,7,0,2,1,3,8
492,509,487,441,581,523,518,432,504,442,360,362,362,351,239,291,259,326,389,300,361
1741,1416,1705,1164,1008,1283,1196,1045,1377,1199,948,1124,922,805,874,975,865,710,1012,924,1534
79,75,68,71,50,66,91,85,79,107,80,65,64,45,37,51,66,33,34,69,40
1174,1017,1210,991,902,902,1060,940,963,1065,749,797,814,541,602,712,740,553,742,667,809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,33,6,42,4,12,18,29,45,11,20,28,6,4,1,2,20,36,6,5,1
1394,1509,1255,1105,1372,1160,1402,1234,1472,1873,1142,934,681,486,642,863,765,596,485,556,945
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4335,3806,4469,3653,3475,3828,3421,3653,3402,3877,2018,2245,1913,1772,2009,2216,2142,1887,2373,2650,3353
45,21,26,20,11,48,33,32,42,19,13,28,23,14,16,18,24,25,21,31,22
503,635,608,535,800,686,743,783,686,1006,457,398,401,542,507,524,519,410,511,449,497
3,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,1,3,0,0,0
31,5,14,4,6,21,18,25,11,15,12,16,9,3,12,11,9,8,14,9,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,1699,1288,1148,890,847,949,1283,1088,1028,1230,879,1137,583,672,826,771,592,692,734,708
1351,1371,1421,1288,1454,1283,1282,1254,1408,1498,1078,1114,994,907,919,1077,870,733,819,817,945
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,6,2,4,4,8,5,2,9,1,4,3,0,0,0,2,2,2,2,3
513,633,608,610,640,637,575,471,658,459,308,300,247,230,351,326,286,285,341,300,381
58,47,70,42,133,331,160,69,56,64,41,38,41,85,72,85,28,86,41,138,93
4965,4450,3998,4124,4083,4091,4483,4445,3795,4520,3038,3290,2812,2016,2327,2712,2507,2508,2985,2891,3421
1300,1027,1149,1157,1126,1158,1126,1110,1021,1219,790,896,762,760,710,690,655,651,782,790,822
298,335,270,255,411,351,343,338,330,495,303,253,246,242,206,267,236,167,158,191,199
12389,11737,12567,10952,9846,9745,12257,10955,10150,11268,8922,8752,7946,6557,6985,8732,7035,7190,8710,8502,9795
54,55,47,53,71,60,67,69,64,64,53,33,38,30,29,39,47,46,46,40,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,116,85,100,111,76,118,113,137,108,81,59,56,45,47,38,58,57,51,71,49
74,28,53,41,33,43,36,33,49,52,43,31,53,33,32,31,29,20,31,28,27
2215,2044,2364,1665,2221,2213,2995,2277,2557,2510,1649,1309,1567,887,1024,1502,1361,1134,1348,1190,1178
25,19,21,13,24,23,36,23,31,19,30,27,27,10,22,21,24,11,12,10,18
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
291,246,304,361,351,331,465,383,608,390,301,200,276,154,237,236,329,252,212,162,311
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,1
103,127,159,85,137,128,115,106,143,99,103,74,87,74,78,91,60,55,79,89,89
0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
219,189,228,206,239,263,275,250,259,238,160,102,146,169,143,102,79,71,207,163,57
806,855,851,795,1019,972,1099,868,994,1285,687,696,560,742,556,609,610,477,557,525,453
368,368,322,314,259,275,296,368,305,360,199,214,183,135,214,244,178,198,175,221,228
221,218,193,200,183,219,213,224,185,235,133,188,127,102,122,143,188,116,135,132,137
0,1,1,0,0,11,1,1,3,3,1,0,0,0,3,2,1,0,0,1,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
2113,1612,1628,1903,1596,1442,1539,1401,1338,1790,1027,968,1035,913,815,807,1012,941,1086,951,1019
249,277,176,209,156,217,217,216,205,251,152,108,97,152,154,111,114,110,125,112,133
24,19,26,18,44,44,26,27,24,45,11,17,15,32,50,19,36,14,28,13,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,7,5,10,9,4,37,18,4,8,1,5,5,1,1,17,4,7,3,9
289,273,233,266,221,250,232,231,252,274,171,126,110,99,124,135,151,104,125,128,166
5,1,1,4,0,2,3,1,3,0,2,1,0,1,0,4,0,0,2,6,4
745,388,457,487,886,676,865,418,628,723,326,320,247,410,269,433,468,288,397,244,357
196,171,120,147,260,139,132,151,220,189,128,102,111,70,164,80,231,82,97,83,170
331,271,256,272,242,255,255,302,243,277,149,158,122,141,141,143,162,125,162,135,175
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,5,1,2,4,4,3,2,1,1,3,3,0,0,1,4,1,3,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0
943,714,585,783,626,846,725,918,756,938,505,585,460,402,404,389,412,370,420,445,301
19,32,22,11,23,31,25,18,33,44,19,22,26,23,17,7,13,30,15,13,8
900,949,717,924,908,947,973,1011,777,951,664,656,556,574,703,662,575,528,603,626,532
170,127,127,249,190,150,157,136,135,153,168,89,118,110,67,103,111,95,88,78,66
4,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,10,6,14,14,5,9,12,7,5,11,16,3,3,9,3,9,7,5,9,10
164,162,171,148,184,143,172,160,138,196,123,94,96,84,65,100,100,86,110,109,103
758,666,665,673,628,696,634,721,692,751,462,431,418,408,337,406,426,333,411,408,427
257,260,167,257,217,216,236,196,170,218,128,159,121,122,145,134,124,135,143,149,160
2,0,1,0,0,2,5,2,2,2,3,1,0,0,2,0,0,2,0,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9,7,9,7,6,10,7,29,13,6,13,10,13,2,11,5,11,2,13,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,16,25,4,6,13,30,11,25,9,13,14,12,7,6,14,22,8,14,12,15
14,6,26,5,9,9,8,7,16,19,6,8,7,7,3,13,5,3,23,3,5
121,63,59,58,45,47,71,70,61,98,31,35,35,38,134,41,49,50,35,38,28
2,5,1,1,8,3,6,2,0,6,0,1,4,3,0,0,1,5,2,1,3
410,411,223,264,327,295,227,171,306,257,213,141,198,140,157,243,161,139,176,176,234
38,26,39,33,13,45,18,19,42,24,41,16,26,10,16,39,19,17,15,11,33
184,165,158,234,153,154,125,155,155,190,96,112,122,72,79,93,57,85,91,93,94
494,349,420,519,422,386,401,388,357,410,354,323,274,216,208,217,235,229,260,228,373
96,120,120,251,103,99,97,115,129,139,78,98,116,68,81,79,101,148,63,117,89
132,104,71,84,132,189,117,151,117,132,58,129,59,76,87,105,77,48,77,97,53
2,1,4,1,1,2,0,1,1,0,12,4,0,1,1,0,0,0,0,2,1
55,16,27,21,26,9,42,33,44,44,27,9,31,33,5,17,10,28,12,12,11
143,187,153,134,135,137,166,137,114,140,84,91,145,56,86,69,116,43,76,144,73
20,49,28,18,17,40,38,20,12,27,13,14,12,31,23,11,18,19,29,12,21
202,160,240,121,124,160,216,252,162,187,150,134,146,96,112,147,140,116,123,108,105
1639,1582,1567,1520,1529,1448,1564,1456,1569,1671,1299,1169,1175,873,918,1096,987,826,987,1001,1159
4,1,1,0,1,0,2,1,4,2,2,0,0,1,3,4,2,0,1,2,1
638,600,581,566,556,547,527,562,459,580,288,312,361,268,263,294,259,279,337,363,455
183,60,94,64,60,94,142,140,147,96,44,83,75,57,29,56,47,37,39,43,60
18,12,25,9,49,18,15,18,20,16,29,9,20,8,8,8,12,27,23,8,7
8979,7274,7146,8117,6884,6712,6758,6579,6622,7914,5239,4881,4803,4069,4390,4147,4391,4287,4952,4658,5450
1242,1155,928,1326,941,1066,1221,1070,1063,1186,700,873,593,704,628,694,606,655,835,848,870
158,139,187,82,99,170,228,220,241,268,73,126,71,84,80,112,73,174,162,180,68
1,0,1,0,0,0,2,1,0,1,0,2,2,1,0,0,0,0,0,0,1
226,244,237,224,219,220,181,212,194,197,183,147,201,114,110,158,116,128,111,171,127
255,239,169,263,355,270,305,297,178,322,163,137,182,247,213,173,172,110,129,145,83
338,256,354,245,277,164,349,268,257,272,303,299,252,144,158,190,194,196,148,129,171
251,228,212,216,236,210,264,283,306,281,191,151,147,114,133,164,185,123,104,120,109
95,76,67,84,78,94,102,85,94,115,44,48,30,30,45,43,46,34,40,48,44
4343,4738,3498,4681,3564,3835,4197,3995,3717,5408,2324,2353,1853,2246,2429,2235,2258,2277,2137,2697,2929
53,65,65,50,57,68,67,65,64,69,43,39,45,31,40,38,29,38,33,43,22
170,148,172,146,147,138,152,115,162,178,117,92,99,106,67,99,101,74,87,89,106
197,159,166,175,127,155,126,197,138,136,98,109,91,104,79,100,93,75,109,106,144
8,3,3,11,4,4,28,9,8,12,3,4,4,8,7,5,3,4,5,5,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,73,88,62,53,52,60,56,57,58,39,59,46,44,43,57,64,43,45,38,36
2181,2002,2392,2312,2377,2390,1927,2383,2258,2378,1876,1364,1459,1437,1356,1859,1318,1264,1499,1518,1357
6823,6520,5353,6669,7012,5836,6702,6993,6197,7521,4717,4225,3985,4236,3964,3562,3804,3511,3462,3492,3410
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,83,98,73,58,108,90,98,123,100,59,68,72,29,41,50,47,60,49,52,50
2,2,1,2,14,0,4,1,3,3,1,0,3,3,8,1,0,0,0,2,3
1082,838,883,960,804,782,794,858,960,1104,732,590,692,469,500,492,543,435,498,464,391
272,249,273,200,153,230,277,168,260,172,108,173,112,67,81,78,121,137,94,113,125
2069,2186,1615,1920,2148,1647,2010,2150,2265,2323,1200,1206,1068,1614,1574,1126,1059,1101,1004,1168,1212
48,80,86,56,52,80,77,62,87,57,44,27,32,35,53,86,34,33,34,48,57
8427,7359,7000,7392,6599,6814,6937,6806,5955,6866,4217,3955,4078,4289,3679,3833,3621,3922,4796,5030,5847
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,50,59,32,42,49,68,70,60,44,19,49,36,20,13,27,15,22,31,26,37
365,406,321,354,661,345,683,687,457,564,295,251,308,279,288,341,368,211,237,223,198
26,11,13,11,6,13,22,23,13,22,5,13,6,0,2,7,6,6,12,5,3
289,266,235,319,270,214,269,276,229,280,195,215,186,107,158,193,154,184,140,277,229
43,25,60,35,18,45,58,40,47,74,19,45,38,17,15,22,27,19,25,27,34
949,773,788,633,627,789,808,899,712,778,574,595,557,310,417,433,483,489,515,599,701
37,32,48,14,10,22,34,30,20,19,17,15,12,8,12,15,14,11,11,12,8
153,151,114,118,143,126,138,134,105,159,60,100,89,61,73,75,74,82,80,62,86
178,139,153,164,135,182,119,156,147,123,77,110,63,102,94,47,57,64,85,98,117
1400,1165,1696,1524,1557,1155,1611,1236,1525,1333,1355,1061,1278,1094,1085,1074,1117,692,858,897,1078
2,0,2,1,3,0,1,2,0,2,1,2,5,2,1,1,0,2,2,2,1
3,5,3,3,4,4,3,3,5,3,2,2,5,3,4,3,5,3,0,3,4
1976,1793,1945,1663,1417,1655,1772,1441,1966,1760,1459,1311,1269,988,1070,1318,1096,948,1203,1279,1741
0,0,2,2,0,0,1,2,1,0,0,0,15,0,0,2,0,0,0,1,2
576,699,570,539,673,583,723,602,685,847,490,372,385,357,323,474,497,365,361,586,387
134,120,122,118,115,76,98,122,113,111,85,56,67,79,53,82,75,53,65,62,110
657,536,590,584,621,539,598,628,571,618,422,350,331,337,317,347,301,277,329,313,360
764,681,576,685,729,688,652,744,666,691,370,395,388,288,296,362,341,305,368,378,474
6,6,4,5,5,1,4,8,6,5,1,4,4,2,6,4,1,5,2,3,3
422,326,400,286,290,293,387,378,347,307,271,129,168,106,98,226,200,153,135,197,146
2362,2046,1796,2317,1832,1691,1916,2225,1612,1985,1198,1185,1225,972,1037,1068,1192,1160,1061,1111,1494
1196,1069,993,872,899,999,1057,881,1172,1116,867,938,740,558,711,728,679,456,663,649,734
500,491,377,434,351,423,434,352,498,485,293,244,377,183,229,259,272,280,261,262,182
45,22,31,41,21,20,32,22,20,29,24,32,28,13,10,27,25,23,17,20,5
2007,2410,1877,1627,1848,1713,1729,1588,2220,1669,1009,1011,943,998,994,1080,963,741,1287,1012,1226
17662,19697,15329,15981,19738,17013,19999,19113,19069,22008,10533,10071,8586,10031,10346,10539,9131,8085,9472,9836,9090
160,147,116,126,123,145,140,154,145,209,199,174,149,103,122,138,131,90,102,115,140
2296,2410,2164,2064,1816,2265,2101,1790,1499,2707,1630,1392,1301,1206,922,1365,1040,962,1179,1281,1000
522,485,692,481,521,462,432,417,491,448,334,326,450,251,212,320,327,288,373,323,296
0,1,1,2,1,3,0,1,2,3,0,1,0,0,1,0,1,0,4,1,0
819,708,782,748,696,722,696,676,652,741,548,546,527,425,415,465,449,429,514,466,578
970,1100,896,682,1068,1066,876,688,1503,577,822,892,762,362,346,893,379,304,300,419,412
2658,2514,2156,2323,2346,2126,2587,2282,2256,2409,1655,1642,1382,1500,1489,1471,1283,1376,1374,1365,1499
112,88,101,127,66,95,149,91,119,133,104,77,87,38,42,79,57,33,45,57,64
997,879,796,1087,888,794,831,756,1101,1150,634,663,774,669,565,506,573,476,570,467,562
0,2,3,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,6,3,11,4,2,2,5,5,5,3,1,2,2,2,0,8,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,90,90,95,48,116,215,150,187,96,53,137,107,87,55,103,44,55,41,98,52
103,97,100,88,99,114,117,92,140,106,58,80,65,109,69,57,61,42,43,37,51
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1,1,15,6,4,2,0,3,1,0,3,3,0,1,5,1,1
184,107,123,140,126,140,122,139,142,154,71,69,69,62,55,84,57,67,65,62,56
4,0,6,1,1,0,0,0,2,7,1,2,1,4,1,0,1,0,0,1,1
11,8,9,10,6,6,10,45,13,11,3,8,33,9,5,5,3,3,2,6,13
185,180,169,211,175,173,112,237,185,175,94,176,97,102,117,96,71,123,136,153,126
919,562,834,686,482,502,653,552,627,569,666,501,585,362,327,439,347,379,357,427,452
1118,1634,1148,1429,1935,1470,1822,1474,1439,1789,1292,1115,1065,998,1278,1218,1069,1022,829,1318,927
917,721,1001,978,499,824,678,1075,645,880,513,591,503,667,458,390,375,589,580,601,695
27,8,10,15,24,10,11,27,9,11,5,14,19,8,5,7,4,6,5,5,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
